TransactionAmount,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_Debit,Cluster_KMeans
14.09,Austin,ATM,Lansia,Doctor,81.0,1.0,5112.21,True,1
376.24,Houston,ATM,Lansia,Doctor,141.0,1.0,13758.91,True,1
126.29,Atlanta,Online,Remaja,Student,56.0,1.0,1122.35,True,1
184.5,Austin,Online,Dewasa,Student,25.000000000000004,1.0,8569.06,True,0
13.45,Atlanta,Online,Dewasa,Student,198.0,1.0,7429.4,False,0
92.15,Charlotte,ATM,Remaja,Student,172.0,1.0,781.68,True,1
7.08,Atlanta,ATM,Dewasa,Doctor,139.0,1.0,13316.71,False,0
171.42,New York,Branch,Lansia,Retired,291.0,1.0,2796.24,False,1
106.23,Houston,Branch,Dewasa,Engineer,86.0,1.0,9095.14,False,0
815.96,Milwaukee,ATM,Dewasa,Doctor,120.0,1.0,1021.8800000000001,True,0
17.78,Albuquerque,Online,Dewasa,Engineer,59.00000000000001,1.0,7599.5199999999995,False,0
190.02,Houston,Online,Remaja,Student,173.0,1.0,1528.81,True,1
494.52,Atlanta,Branch,Remaja,Student,111.0,1.0,1620.02,False,1
781.76,Houston,ATM,Dewasa,Student,123.0,1.0,189.69,True,0
166.99,Louisville,Online,Remaja,Student,134.0,1.0,299.93,True,1
465.45,Denver,ATM,Dewasa,Engineer,129.0,1.0,3465.54,True,0
555.8,Austin,Branch,Remaja,Student,158.0,1.0,1131.26,False,1
492.93,Columbus,Online,Dewasa,Engineer,234.0,1.0,5109.97,True,0
18.68,Albuquerque,Branch,Dewasa,Retired,106.0,1.0,7948.369999999999,False,0
71.48,Columbus,Online,Remaja,Student,169.0,1.0,6568.59,False,1
59.32,Los Angeles,Branch,Lansia,Retired,37.99999999999999,1.0,5750.89,True,1
85.77,Milwaukee,Branch,Dewasa,Doctor,93.0,1.0,9146.19,True,0
52.2,Atlanta,Online,Dewasa,Engineer,120.0,1.0,8974.93,True,0
345.84,Fort Worth,Online,Remaja,Student,142.0,3.0,1402.5,True,1
145.54,Austin,Online,Remaja,Student,96.0,1.0,1930.96,True,1
7.49,Houston,Online,Lansia,Retired,276.0,1.0,3634.67,False,1
246.93,Miami,ATM,Remaja,Student,158.0,5.0,673.3499999999999,True,1
40.32,Milwaukee,Branch,Dewasa,Engineer,95.0,1.0,2686.52,True,0
127.45,Milwaukee,Online,Dewasa,Doctor,197.0,1.0,1772.06,True,0
56.17,Houston,Branch,Dewasa,Student,283.0,1.0,1351.69,True,0
28.31,Miami,Online,Dewasa,Doctor,20.0,1.0,8334.47,False,0
59.12,Louisville,ATM,Dewasa,Doctor,257.0,1.0,9823.64,True,0
396.45,New York,ATM,Dewasa,Engineer,168.00000000000003,3.0,9690.15,True,0
877.81,Los Angeles,Online,Remaja,Student,150.0,1.0,399.0,True,1
255.26,San Francisco,Branch,Dewasa,Doctor,50.00000000000001,1.0,14815.87,False,0
124.76,Atlanta,Branch,Dewasa,Engineer,45.0,1.0,5764.72,True,0
78.13,Milwaukee,Branch,Dewasa,Student,145.0,1.0,900.61,True,0
649.28,Austin,ATM,Lansia,Retired,137.0,1.0,4875.86,True,1
